epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.825,1.23274,3.53026,1.44735,0.50745,0.55056,0.56005,0.34504,1.20814,2.45915,1.35089,0.00332508,0.00332508,0.00332508
2,274.863,1.24578,2.50049,1.39516,0.63562,0.39463,0.45915,0.2856,1.36768,2.51288,1.58404,0.0065925,0.0065925,0.0065925
3,406.744,1.34351,2.17077,1.45192,0.52351,0.53435,0.53174,0.27193,1.54444,1.95991,1.64351,0.00979391,0.00979391,0.00979391
4,540.967,1.454,2.05358,1.53934,0.61495,0.56739,0.61616,0.3801,1.3935,1.72011,1.56367,0.009703,0.009703,0.009703
5,666.928,1.40433,1.83076,1.50599,0.71348,0.55806,0.64468,0.40234,1.33109,1.64703,1.46065,0.009604,0.009604,0.009604
6,797.513,1.33493,1.6671,1.44943,0.75361,0.57328,0.68517,0.44152,1.29834,1.65151,1.43187,0.009505,0.009505,0.009505
7,927.204,1.29522,1.55574,1.42294,0.74338,0.74485,0.79415,0.53997,1.18371,1.23801,1.33365,0.009406,0.009406,0.009406
8,1053.23,1.26349,1.46518,1.3971,0.82784,0.69716,0.80071,0.53912,1.14383,1.19515,1.3232,0.009307,0.009307,0.009307
9,1184.87,1.218,1.37528,1.36777,0.7855,0.80259,0.83914,0.58181,1.11119,1.07549,1.28131,0.009208,0.009208,0.009208
10,1313.75,1.19438,1.30219,1.35396,0.83044,0.83635,0.86053,0.59815,1.14135,1.02305,1.29536,0.009109,0.009109,0.009109
11,1440.53,1.17512,1.25678,1.32724,0.85266,0.80773,0.8858,0.62305,1.07162,0.88299,1.22984,0.00901,0.00901,0.00901
12,1570.7,1.15111,1.2095,1.30966,0.8373,0.84477,0.87762,0.63352,1.03216,0.87994,1.22398,0.008911,0.008911,0.008911
13,1699.03,1.13899,1.18726,1.31019,0.87228,0.81536,0.89167,0.65332,0.99159,0.89076,1.19093,0.008812,0.008812,0.008812
14,1829.4,1.10192,1.12384,1.27855,0.82851,0.8356,0.88746,0.64203,1.00633,0.84413,1.20587,0.008713,0.008713,0.008713
15,1955.93,1.0906,1.09402,1.27539,0.84328,0.82786,0.88071,0.63392,1.01936,0.86375,1.19904,0.008614,0.008614,0.008614
16,2084.81,1.07237,1.05382,1.25601,0.88043,0.81503,0.88299,0.65107,1.00147,0.8506,1.20578,0.008515,0.008515,0.008515
17,2217.17,1.05049,1.02494,1.25081,0.88831,0.84415,0.90905,0.66816,1.01513,0.77047,1.20866,0.008416,0.008416,0.008416
18,2347.09,1.03582,0.99646,1.24388,0.90648,0.87204,0.91876,0.6781,0.97247,0.75145,1.17551,0.008317,0.008317,0.008317
19,2479.28,1.03168,0.98335,1.24301,0.87757,0.89399,0.92084,0.69535,0.96115,0.73216,1.15572,0.008218,0.008218,0.008218
20,2609.09,1.02898,0.9494,1.2346,0.88087,0.8984,0.92649,0.69516,0.95947,0.69832,1.15476,0.008119,0.008119,0.008119
21,2742.76,1.01193,0.94176,1.2209,0.91356,0.87537,0.92677,0.69462,0.94998,0.69097,1.14843,0.00802,0.00802,0.00802
22,2872.22,0.9951,0.91667,1.21004,0.91579,0.86509,0.93685,0.70359,0.96125,0.67546,1.15112,0.007921,0.007921,0.007921
23,2999.67,0.97727,0.90155,1.20061,0.89342,0.89794,0.92974,0.69747,0.9468,0.6636,1.15067,0.007822,0.007822,0.007822
